name,yelp_id,categories,rating,address,latitude,longitude,price,review_count,is_closed,distance
The Flying Pig,NdEPf2Ls5Ql3_nkwjqKvXA,"Canadian (New), Seafood",4.0,"['1168 Hamilton Street', 'Unit 104', 'Vancouver, BC V6B 2S2', 'Canada']",49.27501,-123.122,$$,1369,False,54.99091675773941
Le Crocodile Restaurant,GSg5v3ZJxmMPrlAXqat8tA,French,4.3,"['909 Burrard Street', 'Suite 100', 'Vancouver, BC V6Z 2N2', 'Canada']",49.2825393,-123.1252052,$$$$,465,False,37.08295434389578
PiDGiN,H4h_nwZW7f2Yj9ONdzGxHQ,"Japanese, Korean, French",4.0,"['350 Carrall Street', 'Vancouver, BC V6B 2J3', 'Canada']",49.2819071402452,-123.104188653967,$$$,343,False,221.8931551092717
Burgoo Bistro,oaBBSXNwlk7hOK4XIiw00A,"Comfort Food, Bistros",3.9,"['4434 10th Avenue W', 'Vancouver, BC V6R 2H9', 'Canada']",49.2635099,-123.20713,$$,137,False,150.8742322244632
Raisu,TQj4HSCmm5GnriKMiSpqpQ,"Japanese, Sushi Bars",4.2,"['2340 W 4th Avenue', 'Vancouver, BC V6K 1P1', 'Canada']",49.2679990419609,-123.158381134272,$$$,525,False,77.8602010060637
Fable Diner,uonaIMF0GOLC8UzKR3IaQA,"Diners, American",3.9,"['151 E Broadway', 'Vancouver, BC V5T 1W1', 'Canada']",49.2630749,-123.1019822,$$,343,False,252.97555357295707
Suika,umv8zQBbJ5GgRT0qVHIpCg,"Japanese, Tapas/Small Plates, Sushi Bars",4.2,"['1626 W Broadway', 'Vancouver, BC V6J 1X6', 'Canada']",49.26333,-123.1417,$$,566,False,139.00686238944274
La Quercia,Mfdo3zuB2P0xFQ40DLPaEQ,"Italian, Wine Bars",4.1,"['3689 W 4th Avenue', 'Vancouver, BC V6R 1P2', 'Canada']",49.2687649,-123.1853601,$$$,213,False,382.6753135205526
The Flying Pig,NdEPf2Ls5Ql3_nkwjqKvXA,"Canadian (New), Seafood",4.0,"['1168 Hamilton Street', 'Unit 104', 'Vancouver, BC V6B 2S2', 'Canada']",49.27501,-123.122,$$,1369,False,396.1414811063175
Salmon n' Bannock,drhJnjLFI8wsbvOMaVFDSA,Canadian (New),4.5,"['1128 W Broadway', 'Unit 7', 'Vancouver, BC V6H 1G5', 'Canada']",49.2631378,-123.1296705,$$,236,False,236.92583552602002
Miku,4EV_ZcQmjAmP3pmO-_nb2A,"Japanese, Sushi Bars",4.4,"['200 Granville Street', 'Suite 70', 'Vancouver, BC V6C 1S4', 'Canada']",49.28691298612272,-123.11304877258942,$$$,2379,False,35.89487452936265
Hachibei Japanese Restaurant,E1ygd4cHPPlD0TYKg7Berw,Japanese,3.9,"['778 16th Avenue W', 'Vancouver, BC V5Z 1S7', 'Canada']",49.256899,-123.1215336,$$,80,False,232.01195293348025
